 ,ID,Treat,CellLine
D18_R1_ACATCG.bam,2,Control,KGN
D18_R1_ATTGGC.bam,6,15c,KGN
D18_R1_CACTGT.bam,5,15c,KGN
D18_R1_CGTGAT.bam,1,Control,KGN
D18_R1_GATCTG.bam,7,15an,KGN
D18_R1_GCCTAA.bam,3,15a,KGN
D18_R1_TCAAGT.bam,8,15an,KGN
D18_R1_TGGTCA.bam,4,15a,KGN
D916_R1_ACATCG.bam,2,Control,MHCC
D916_R1_ATTGGC.bam,6,15c,MHCC
D916_R1_CACTGT.bam,5,15c,MHCC
D916_R1_CGTGAT.bam,1,Control,MHCC
D916_R1_GATCTG.bam,7,15an,MHCC
D916_R1_GCCTAA.bam,3,15a,MHCC
D916_R1_TCAAGT.bam,8,15an,MHCC
D916_R1_TGGTCA.bam,4,15a,MHCC
