"","x"
"1","ENSG00000162591.13"
"2","ENSG00000162692.8"
"3","ENSG00000174502.16"
"4","ENSG00000117724.10"
"5","ENSG00000138061.9"
"6","ENSG00000232973.9"
"7","ENSG00000115904.10"
"8","ENSG00000168874.10"
"9","ENSG00000138411.8"
"10","ENSG00000241635.5"
"11","ENSG00000114812.10"
"12","ENSG00000154165.4"
"13","ENSG00000047457.11"
"14","ENSG00000163659.10"
"15","ENSG00000180801.12"
"16","ENSG00000225138.5"
"17","ENSG00000066230.8"
"18","ENSG00000112769.16"
"19","ENSG00000165272.12"
"20","ENSG00000186193.8"
"21","ENSG00000197142.8"
"22","ENSG00000182704.7"
"23","ENSG00000089127.10"
"24","ENSG00000188549.10"
"25","ENSG00000186417.11"
"26","ENSG00000140465.11"
"27","ENSG00000179889.16"
"28","ENSG00000169627.7"
"29","ENSG00000103257.6"
"30","ENSG00000108602.15"
"31","ENSG00000060566.11"
"32","ENSG00000105088.6"
"33","ENSG00000099337.3"
"34","ENSG00000100196.8"
"35","ENSG00000188064.7"
"36","ENSG00000186951.14"
"37","ENSG00000102312.18"
