Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
54658,3.0,1,1,1
5465,3.0,1,1,1
195814,3.0,1,1,1
1543,3.0,1,1,1
11015,3.0,1,1,1
6654,3.0,1,1,1
132158,3.0,1,1,1
6520,3.0,1,1,1
8605,3.0,1,1,1
8878,3.0,1,1,1
8856,3.0,1,1,1
7053,3.0,1,1,1
1545,3.0,1,1,1
57491,3.0,1,1,1
218,3.0,1,1,1
8140,3.0,1,1,1
4862,3.0,1,1,1
5743,3.0,1,1,1
3484,2.0,1,1,0
2838,2.0,1,0,1
51703,2.0,1,1,0
1917,2.0,1,0,1
102724428,2.0,1,1,0
7477,2.0,1,0,1
360,2.0,1,1,0
25976,2.0,1,1,0
10723,2.0,1,0,1
9518,2.0,1,1,0
7032,2.0,1,0,1
3032,2.0,1,0,1
84699,2.0,1,1,0
64840,2.0,1,0,1
7433,2.0,1,0,1
8555,2.0,1,0,1
6581,2.0,1,1,0
23764,2.0,1,1,0
64781,2.0,1,0,1
93145,2.0,1,0,1
80201,2.0,1,0,1
25987,2.0,1,1,0
2635,2.0,1,1,0
1591,2.0,1,1,0
2069,2.0,1,0,1
7412,2.0,1,1,0
100129550,1.0,1,0,0
285154,1.0,1,0,0
290,1.0,1,0,0
342035,1.0,1,0,0
259173,1.0,1,0,0
254427,1.0,1,0,0
57186,1.0,1,0,0
388115,1.0,1,0,0
84913,1.0,1,0,0
80274,1.0,1,0,0
122416,1.0,1,0,0
9962,1.0,1,0,0
399665,1.0,1,0,0
57520,1.0,1,0,0
11093,1.0,1,0,0
9615,1.0,1,0,0
124902280,1.0,1,0,0
131601,1.0,1,0,0
51291,1.0,1,0,0
79152,1.0,1,0,0
4938,1.0,1,0,0
6550,1.0,1,0,0
4586,1.0,1,0,0
93611,1.0,1,0,0
253980,1.0,1,0,0
3910,1.0,1,0,0
100287036,1.0,1,0,0
64838,1.0,1,0,0
120224,1.0,1,0,0
389602,1.0,1,0,0
387111,1.0,1,0,0
23042,1.0,1,0,0
219855,1.0,1,0,0
1953,1.0,1,0,0
9424,1.0,1,0,0
